Time, s;x;y;z
50.2;3310.131;793.12897;557.6846
50.3;3316.7627;792.82446;559.5104
50.4;3323.3984;792.526;561.33875
50.5;3330.0383;792.2339;563.16974
50.6;3336.6821;791.9482;565.0033
50.7;3343.33;791.66907;566.8395
50.8;3349.982;791.39667;568.67816
50.9;3356.6377;791.1311;570.5193
51,00;3363.2974;790.87256;572.363
51.1;3369.9604;790.62115;574.2091
51.2;3376.6272;790.37695;576.0576
51.3;3383.2974;790.1402;577.90857
51.4;3389.971;789.91095;579.7619
51.5;3396.648;789.6894;581.61755
51.6;3403.3281;789.4755;583.47546
51.7;3410.0115;789.2696;585.3357
51.8;3416.6978;789.07166;587.1982
51.9;3423.387;788.88184;589.0629
52,00;3430.079;788.7002;590.92975
52.1;3436.7737;788.5269;592.7988
52.2;3443.4712;788.36206;594.6699
52.3;3450.171;788.20575;596.54315
52.4;3456.8733;788.05804;598.41846
52.5;3463.578;787.91907;600.2957
52.6;3470.2847;787.7889;602.175
52.7;3476.9934;787.6676;604.0562
52.8;3483.704;787.55524;605.9393
52.9;3490.4167;787.45197;607.8243
53,00;3497.1309;787.35785;609.71106
53.1;3503.847;787.2729;611.5997
53.2;3510.5642;787.19714;613.49005
53.3;3517.283;787.1308;615.3821
53.4;3524.003;787.07385;617.2759
53.5;3530.724;787.0263;619.17126
53.6;3537.4463;786.9882;621.06824
53.7;3544.1694;786.9597;622.9668
53.8;3550.893;786.9408;624.8669
53.9;3557.6177;786.9315;626.76843
54,00;3564.3425;786.9319;628.67145
54.1;3571.0679;786.94196;630.5758
54.2;3577.7937;786.9618;632.48157
54.3;3584.5193;786.99133;634.3887
54.4;3591.245;787.03064;636.29706
54.5;3597.971;787.0798;638.20667
54.6;3604.6963;787.13873;640.11743
54.7;3611.4216;787.20746;642.0294
54.8;3618.1462;787.286;643.9425
54.9;3624.8704;787.3744;645.8566
55,00;3631.5938;787.4726;647.77185
55.1;3638.3162;787.5806;649.688
55.2;3645.0376;787.6984;651.60516
55.3;3651.758;787.82605;653.5232
55.4;3658.4773;787.96344;655.4421
55.5;3665.1953;788.1106;657.3619
55.6;3671.9119;788.26746;659.2824
55.7;3678.6267;788.43396;661.2037
55.8;3685.3398;788.6102;663.1257
55.9;3692.0513;788.796;665.0483
56,00;3698.7605;788.99146;666.9716
56.1;3705.468;789.1965;668.89545
56.2;3712.173;789.4109;670.8199
56.3;3718.876;789.6348;672.7448
56.4;3725.5764;789.8681;674.67017
56.5;3732.2744;790.1107;676.596
56.6;3738.9697;790.3626;678.5222
56.7;3745.6624;790.62366;680.4487
56.8;3752.3523;790.89386;682.3756
56.9;3759.039;791.1731;684.30273
57,00;3765.7227;791.4613;686.23016
57.1;3772.4033;791.7584;688.1577
57.3;3785.7544;792.379;692.0133
57.4;3792.4248;792.70233;693.9413
57.5;3799.0916;793.0342;695.8693
57.6;3805.7546;793.37445;697.7973
57.7;3812.414;793.7231;699.72534
57.8;3819.0696;794.07996;701.6533
57.9;3825.721;794.44495;703.5812
58,00;3832.3684;794.818;705.509
58.1;3839.0117;795.1989;707.4366
58.2;3845.6506;795.58765;709.364
58.3;3852.2854;795.9841;711.29126
58.4;3858.9158;796.38806;713.21826
58.5;3865.5415;796.7995;715.14496
58.6;3872.1628;797.21826;717.07135
58.7;3878.7793;797.64417;718.99744
58.8;3885.391;798.0772;720.92316
58.9;3891.9983;798.5171;722.84845
59,00;3898.6003;798.9638;724.7734
59.1;3905.1978;799.4172;726.6978
59.2;3911.79;799.877;728.6218
59.3;3918.3772;800.34326;730.54535
59.4;3924.9592;800.8157;732.4683
59.5;3931.5361;801.29425;734.39075
59.6;3938.1077;801.7787;736.3126
59.7;3944.674;802.269;738.2339
59.8;3951.2349;802.76483;740.15454
59.9;3957.7905;803.2662;742.0746
60,00;3964.3406;803.7729;743.99396
60.1;3970.8853;804.28467;745.91266
60.2;3977.4243;804.8015;747.8306
